['Date', 'Delta', 'Gamma', 'Vega', 'Theta', '#Call', '#Put', '#CashSpot', '$P&L', '$Notional']
[20130204, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.0, 1000000.0]
[20130205, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.0, 1000000.0]
[20130206, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.0, 1000000.0]
[20130207, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.0, 1000000.0]
[20130208, 39.305168050340853, -77.935327621410067, -21217.181133673144, 3426.2749661029584, -5538, -5538, 0, 0.0, 1190769.1448304988]
[20130211, -43.500520457093444, -80.348235447916892, -20789.289646973673, 3462.1528037428097, -5538, -5538, 0, -7518.2943883091248, 1183250.8504421897]
[20130212, 146.04566099649855, -83.505145435324323, -20352.282735951365, 3476.446259907842, -5538, -5538, 0, -8935.3151243432549, 952478.75531784643]
[20130213, 216.3971498865285, -81.168351013305099, -19522.386708263366, 3584.2597965315717, -5538, -5538, 0, -635.67387998927734, 623451.80143785721]
[20130214, 306.92610649485869, -85.157178436745497, -19033.106951586891, 3566.0248821977075, -5538, -5538, 0, -10664.547232173092, 147244.97420568409]
[20130215, 193.83327882149257, -113.79655355597497, -22244.036582512825, 3802.4338415965249, -6390, -6390, 0, -30080.659596085323, 153958.11610705708]
[20130219, 1583.0308071692161, -109.10385692431261, -18518.949953249856, 3380.5562677228522, -6390, -6390, 0, -7425.5730673268263, 146532.54303973026]
[20130220, -657.08480843992231, -105.61261243940449, -20564.470235774112, 4794.7199970572929, -6390, -6390, 0, 21032.638526799972, 167565.18156653023]
[20130221, -1562.6419057257408, -99.723314875664627, -19599.61672766933, 5211.6648788769053, -6390, -6390, 0, 16426.810219409963, 183991.99178594019]
[20130222, -339.73255708368794, -126.59148042799984, -23101.062002123806, 5671.8836255703827, -7366, -7366, 0, -32474.674449364989, 197499.66999730596]
[20130225, -2770.4428576040864, -87.434223143839105, -19828.181305889513, 6979.1008474820455, -7366, -7366, 0, 111149.74645866927, 308649.41645597521]
[20130226, -2419.5539648641616, -109.83231003054748, -20042.318619941267, 6423.9682904676001, -7366, -7366, 0, -72799.815207524822, 235849.6012484504]
[20130227, -357.88387622750133, -138.16919985901345, -20908.502059484021, 6393.1566537721073, -7366, -7366, 0, -59515.732095484622, 176333.86915296578]
[20130228, -549.58363528920609, -138.62204667037273, -20122.204182908335, 6901.7914111469418, -7366, -7366, 0, -1987.2780672422232, 174346.59108572354]
[20130301, -77.123774097845285, -160.94982247255967, -22635.242842274936, 7564.2354199111442, -8236, -8236, 0, -16285.752370427814, 201631.09767160076]
[20130304, 1224.568783947308, -184.15467698646327, -20741.54672441227, 6550.4167261773209, -8236, -8236, 0, -36405.925018866765, 165225.17265273398]
[20130305, 4114.2909275778384, -165.11813315716762, -16824.502510405284, 5554.7595581600572, -8236, -8236, 0, 28987.73551512252, 194212.90816785651]
[20130306, 4482.2030393617788, -120.93806573330349, -12294.745328382271, 4491.9724032136028, -8236, -8236, 0, 4815.7800783816056, 199028.6882462381]
[20130307, 5236.4839933644671, -117.08410204714922, -10736.709596776242, 4188.7079726199927, -8236, -8236, 0, 4340.7388033644675, 203369.42704960256]
[20130308, 6674.7160251058522, -65.850655093276302, -9621.1875475075794, 2456.2770492458853, -9351, -9351, 0, 29895.749720483509, 284087.08984313247]
[20130311, 7376.0342640354011, -55.64803197097195, -8463.0964255407071, 2088.9977225929247, -9351, -9351, 0, 30717.269704421487, 314804.35954755393]
[20130312, 7066.7205927828327, -56.021763057578397, -8305.1957182785573, 2222.4952539386686, -9351, -9351, 0, -32785.64664312129, 282018.71290443267]
[20130313, 7408.8036942676063, -47.841038502117755, -7553.5264110177541, 1932.8092755204063, -9351, -9351, 0, 10484.457183585735, 292503.17008801841]
[20130314, 7956.0711948318749, -35.028635600849334, -5729.5483768360464, 1423.4367134497509, -9351, -9351, 0, 66092.678137614435, 358595.84822563286]
[20130315, 2183.5669406956681, -62.605736095260077, -13332.280733257949, 2343.5034164301078, -5852, -5852, 0, 110.92014411621312, 198367.02481180121]
[20130318, 1431.9110391907211, -71.375010605125951, -14327.035884247074, 3203.1020629465229, -5852, -5852, 0, -6805.1519518359182, 191561.87285996528]
[20130319, 1082.2551745049941, -82.574544017674654, -14556.870226789297, 3966.7450139890921, -5852, -5852, 0, -6094.7506774998219, 185467.12218246545]
[20130320, 2000.1900754381122, -73.907903258583787, -13058.093942701213, 2920.8584144737156, -5852, -5852, 0, -485.95078030493005, 184981.17140216051]
[20130321, 972.43793569373588, -77.952591738215133, -13264.484529101568, 4082.838530779959, -5852, -5852, 0, -11738.499991127021, 173242.67141103349]
[20130322, 986.40910561171745, -80.442324108609128, -15891.292145532047, 4242.4701483092185, -5878, -5878, 0, 23479.009615263265, 203193.98748558993]
[20130325, 662.1316001977716, -81.22826275633301, -14935.862622503219, 3865.9545658567376, -5878, -5878, 0, -21185.525210664353, 182008.46227492558]
[20130326, 1797.0904235785192, -76.63581993539475, -13486.638861502104, 3002.1660826159723, -5878, -5878, 0, -570.27520702217771, 181438.1870679034]
[20130327, 1725.2460660278921, -75.395231907804074, -13076.418119133556, 3236.0026918769968, -5878, -5878, 0, -115.93167094013188, 181322.25539696327]
[20130328, 2263.5303438105393, -79.770359271254918, -12522.640888865386, 3136.493240374522, -5878, -5878, 0, 5727.0772113447365, 187049.332608308]
[20130402, 1477.4651646372613, -81.42999675808143, -10085.69472324896, 2859.2830292954873, -5878, -5878, 0, -18963.40551748038, 168085.92709082761]
[20130403, 19.699656669936189, -84.363875726100616, -10659.962231190844, 4028.5239645655183, -5878, -5878, 0, -8182.9941596630233, 130382.8229311646]
[20130404, 544.89760309983126, -87.656962097775875, -10100.033852383454, 4060.8506334671665, -5878, -5878, 0, -1248.9560269702342, 129133.86690419436]
[20130405, -989.92944174948821, -100.53692405337165, -12131.567136168489, 4744.1269162544322, -5660, -5660, 0, 3011.2509913014583, 120853.97849414664]
[20130408, -31.760916734279022, -115.00935216121883, -11369.212403936583, 4444.490961803659, -5660, -5660, 0, -17993.56555337469, 102860.41294077194]
[20130409, 701.91238949097874, -127.93087230790414, -10646.514958869173, 4507.462310411388, -5660, -5660, 0, -5204.2065274669658, 97656.206413304986]
[20130410, 2974.7263879685001, -72.363279325631822, -6824.0666725875581, 2552.0686709634083, -5660, -5660, 0, 38804.522150557321, 136460.7285638623]
[20130411, 3463.3439477731672, -47.008767485723432, -4566.3302504823241, 1809.418374433973, -5660, -5660, 0, 19335.053016689002, 155795.78158055129]
[20130412, 2283.4605379794662, -82.343501449712718, -8790.0338470816841, 2737.8792678663281, -5402, -5402, 0, -6336.3721590143305, 137569.39439362034]
[20130415, -1325.9262878438499, -83.364333830544581, -10442.225440155147, 6479.2768987606823, -5402, -5402, 0, 4872.7356819836095, 142442.13007560396]
[20130416, 790.79333468871948, -115.34817038300172, -9226.6828695110162, 4705.9048644946151, -5402, -5402, 0, -37217.686417061064, 105224.44365854289]
[20130417, -1822.6565096463353, -110.06181020159998, -8849.2435399784172, 7378.5005893179386, -5402, -5402, 0, 12620.232495764954, 117844.67615430785]
[20130418, -2848.2138397407634, -78.329371631466586, -6859.3462171615392, 5411.6337997272258, -5402, -5402, 0, 15775.893190566403, 133620.56934487424]
[20130419, -522.40314213836928, -53.576340968086747, -8685.4845257651323, 2972.3022225717204, -3994, -3994, 0, 15043.667308840575, 92404.271301335233]
[20130422, -142.33219980262464, -59.073765874091094, -8312.4370588865186, 2846.3203623793147, -3994, -3994, 0, -8240.2368061050165, 84164.034495230211]
[20130423, 926.83338717910931, -54.125804359946905, -7353.3177992166366, 2288.7368636346864, -3994, -3994, 0, 7042.3793524369812, 91206.413847667194]
[20130424, 1010.6574282161573, -52.980721151927447, -6897.3855199150294, 2326.7088128777546, -3994, -3994, 0, -2887.5776357314553, 88318.836211935733]
[20130425, 1400.1633882220685, -33.193718745254124, -5930.529616364639, 1613.5388145912084, -3994, -3994, 0, 10306.178744195073, 98625.014956130806]
[20130426, 419.89459779853257, -39.466382555692853, -7639.1910837974319, 1870.3233530487519, -3609, -3609, 0, 14070.610262973256, 94061.629807201592]
[20130429, 923.43862511047996, -36.231136928252809, -6660.7325869600463, 1663.6424776566289, -3609, -3609, 0, 10717.964088134366, 104779.59389533596]
[20130430, 1113.6053864213604, -37.456236103338149, -6334.5569029134131, 1645.3206914317539, -3609, -3609, 0, 1931.1726782330952, 106710.76657356905]
[20130501, 450.65136178519481, -40.780631044715015, -6841.7881892223177, 2194.9372324457408, -3609, -3609, 0, -16311.592465084464, 90399.174108484585]
[20130502, 1154.2481361818564, -37.750059138118473, -5766.5024587387506, 1777.2299381996988, -3609, -3609, 0, 13515.938589307345, 103915.11269779193]
[20130503, 1831.0335412401901, -31.062499336314978, -5726.4585604181775, 1379.8778114378674, -4142, -4142, 0, 30583.288571950005, 160430.29564629996]
[20130507, 2295.2678947220375, -23.579117030330529, -4146.9161726104967, 1017.2745291018064, -4142, -4142, 0, 24922.294368534218, 185352.59001483419]
[20130508, 2499.1994947884982, -16.653988271051979, -3131.4506250505774, 766.03097637357769, -4142, -4142, 0, 18833.974745739048, 204186.56476057324]
[20130509, 2343.7504481301135, -23.069069014706585, -3763.8884357773773, 1091.6187766379583, -4142, -4142, 0, -18213.962940034035, 185972.60182053922]
[20130510, 1915.8233547641926, -26.177455650345973, -6482.3645098406369, 1257.413578843541, -4434, -4434, 0, 2454.8169261668518, 202595.0126702261]
[20130513, 1899.4195533571005, -26.266125577559691, -6399.9766043837972, 1365.661600053714, -4434, -4434, 0, 1169.5677817463584, 203764.58045197246]
[20130514, 2345.919462709855, -20.294464760219807, -5148.0770429032173, 1074.7828831905222, -4434, -4434, 0, 42330.827449460659, 246095.40790143312]
[20130515, 2540.6181377473918, -20.462333929722284, -4985.6573318858746, 1099.632787551609, -4434, -4434, 0, 25537.498909776565, 271632.90681120969]
[20130516, 2360.7566217195499, -20.375571427681081, -4837.6090134727356, 1144.9531011478221, -4434, -4434, 0, -26693.530371971428, 244939.37643923826]
[20130517, 1916.0895764041029, -32.602392093772018, -8978.7071463966568, 1734.8976853348549, -4780, -4780, 0, 24062.232858604199, 291273.25757463125]
[20130520, 1881.2372102815857, -32.33850634200266, -8737.423133983677, 1811.6281556042707, -4780, -4780, 0, -2827.1868726719113, 288446.07070195931]
[20130521, 1962.1414162916858, -33.441132822994305, -8566.1430228175068, 1865.5814171756183, -4780, -4780, 0, 3780.5002020988322, 292226.57090405817]
[20130522, 1455.5370133228375, -36.122896494905703, -8858.5276065202779, 2182.9495205624194, -4780, -4780, 0, -31256.806955901935, 260969.76394815624]
[20130523, 1287.3267058208928, -36.16020714010309, -8536.6846937332721, 2244.332553941445, -4780, -4780, 0, -11877.520486213951, 249092.2434619423]
[20130524, 664.82801626384298, -51.33217479512372, -13093.882135198361, 3262.2552689266095, -5269, -5269, 0, -26522.559959021964, 251472.65832315059]
[20130528, 1259.4721532623025, -48.082723528732359, -11332.003304916909, 2883.1237464865653, -5269, -5269, 0, -147.60439070488792, 251325.05393244571]
[20130529, 639.95424996742304, -54.092430509425171, -11772.99253460515, 3484.2531589740483, -5269, -5269, 0, -16056.600584820146, 235268.45334762556]
[20130530, 1001.3108760366133, -53.164137880755696, -11026.80988746507, 3298.8596275607724, -5269, -5269, 0, 616.54762685915921, 235885.00097448472]
[20130531, -850.37557524631688, -64.607156444989158, -14914.486653176416, 5009.694290368062, -5760, -5760, 0, -7552.2358963314182, 262657.2074493384]
[20130603, -229.72911238832199, -66.460583866507605, -14355.460372199939, 4890.5243291786355, -5760, -5760, 0, -11218.990740971538, 251438.21670836688]
[20130604, -853.459938276667, -70.441398853116652, -13702.219610889835, 5369.7134361270528, -5760, -5760, 0, -4321.6288442793884, 247116.58786408749]
[20130605, -2281.5952634507248, -61.777190311015524, -10926.891393359921, 5582.0882073426046, -5760, -5760, 0, 28787.083461352959, 275903.67132544046]
